Temp,Load,time,COF
25,8,320,4.23E-01
25,8,340,4.28E-01
25,8,360,4.33E-01
25,8,380,4.38E-01
25,8,400,4.43E-01
25,8,420,4.48E-01
25,8,440,4.53E-01
25,8,460,4.58E-01
25,8,480,4.63E-01
25,8,500,4.68E-01
25,8,520,4.72E-01
25,8,540,4.77E-01
25,8,560,4.81E-01
25,8,580,4.86E-01
25,8,600,4.90E-01
25,8,620,4.94E-01
25,8,640,4.98E-01
25,8,660,5.02E-01
25,8,680,5.06E-01
25,8,700,5.10E-01
25,8,720,5.14E-01
25,8,740,5.18E-01
25,8,760,5.22E-01
25,8,780,5.25E-01
25,8,800,5.29E-01
25,8,820,5.32E-01
25,8,840,5.36E-01
25,8,860,5.39E-01
25,8,880,5.42E-01
25,8,900,5.45E-01
25,8,920,5.49E-01
25,8,940,5.52E-01
25,8,960,5.54E-01
25,8,980,5.57E-01
25,8,1000,5.60E-01
25,11,0,0.3015
25,11,20,0.3081528
25,11,40,0.3147032
25,11,60,0.3211512
25,11,80,0.3274968
25,11,100,0.33374
25,11,120,0.3398808
25,11,140,0.3459192
25,11,160,0.3518552
25,11,180,0.3576888
25,11,200,0.36342
25,11,220,0.3690488
25,11,240,0.3745752
25,11,260,0.3799992
25,11,280,0.3853208
25,11,300,0.39054
25,11,320,0.3956568
25,11,340,0.4006712
25,11,360,0.4055832
25,11,380,0.4103928
25,11,400,0.4151
25,11,420,0.4197048
25,11,440,0.4242072
25,11,460,0.4286072
25,11,480,0.4329048
25,11,500,0.4371
25,11,520,0.4411928
25,11,540,0.4451832
25,11,560,0.4490712
25,11,580,0.4528568
25,11,600,0.45654
25,11,620,0.4601208
25,11,640,0.4635992
25,11,660,0.4669752
25,11,680,0.4702488
25,11,700,0.47342
25,11,720,0.4764888
25,11,740,0.4794552
25,11,760,0.4823192
25,11,780,0.4850808
25,11,800,0.48774
25,11,820,0.4902968
25,11,840,0.4927512
25,11,860,0.4951032
25,11,880,0.4973528
25,11,900,0.4995
25,11,920,0.5015448
25,11,940,0.5034872
25,11,960,0.5053272
25,11,980,0.5070648
25,11,1000,0.5087
25,16,0,0.3015
25,16,20,0.3081528
25,16,40,0.3147032
25,16,60,0.3211512
25,16,80,0.3274968
25,16,100,0.33374
25,16,120,0.3398808
25,16,140,0.3459192
25,16,160,0.3518552
25,16,180,0.3576888
25,16,200,0.36342
25,16,220,0.3690488
25,16,240,0.3745752
25,16,260,0.3799992
25,16,280,0.3853208
25,16,300,0.39054
25,16,320,0.3956568
25,16,340,0.4006712
25,16,360,0.4055832
25,16,380,0.4103928
25,16,400,0.4151
25,16,420,0.4197048
25,16,440,0.4242072
25,16,460,0.4286072
25,16,480,0.4329048
25,16,500,0.4371
25,16,520,0.4411928
25,16,540,0.4451832
25,16,560,0.4490712
25,16,580,0.4528568
25,16,600,0.45654
25,16,620,0.4601208
25,16,640,0.4635992
25,16,660,0.4669752
25,16,680,0.4702488
25,16,700,0.47342
25,16,720,0.4764888
25,16,740,0.4794552
25,16,760,0.4823192
25,16,780,0.4850808
25,16,800,0.48774
25,16,820,0.4902968
25,16,840,0.4927512
25,16,860,0.4951032
25,16,880,0.4973528
25,16,900,0.4995
25,16,920,0.5015448
25,16,940,0.5034872
25,16,960,0.5053272
25,16,980,0.5070648
25,16,1000,0.5087
200,0.5,0,0.645521
200,0.5,20,0.68446264
200,0.5,40,0.72276756
200,0.5,60,0.76043576
200,0.5,80,0.79746724
200,0.5,100,0.833862
200,0.5,120,0.86962004
200,0.5,140,0.90474136
200,0.5,160,0.93922596
200,0.5,180,0.97307384
200,0.5,200,1.006285
200,0.5,220,1.03885944
200,0.5,240,1.07079716
200,0.5,260,1.10209816
200,0.5,280,1.13276244
200,0.5,300,1.16279
200,0.5,320,1.19218084
200,0.5,340,1.22093496
200,0.5,360,1.24905236
200,0.5,380,1.27653304
200,0.5,400,1.303377
200,0.5,420,1.32958424
200,0.5,440,1.35515476
200,0.5,460,1.38008856
200,0.5,480,1.40438564
200,0.5,500,1.428046
200,0.5,520,1.45106964
200,0.5,540,1.47345656
200,0.5,560,1.49520676
200,0.5,580,1.51632024
200,0.5,600,1.536797
200,0.5,620,1.55663704
200,0.5,640,1.57584036
200,0.5,660,1.59440696
200,0.5,680,1.61233684
200,0.5,700,1.62963
200,0.5,720,1.64628644
200,0.5,740,1.66230616
200,0.5,760,1.67768916
200,0.5,780,1.69243544
200,0.5,800,1.706545
200,0.5,820,1.72001784
200,0.5,840,1.73285396
200,0.5,860,1.74505336
200,0.5,880,1.75661604
200,0.5,900,1.767542
200,0.5,920,1.77783124
200,0.5,940,1.78748376
200,0.5,960,1.79649956
200,0.5,980,1.80487864
200,0.5,1000,1.812621
200,1,0,0.542044
200,1,20,0.57190988
200,1,40,0.60150752
200,1,60,0.63083692
200,1,80,0.65989808
200,1,100,0.688691
200,1,120,0.71721568
200,1,140,0.74547212
200,1,160,0.77346032
200,1,180,0.80118028
200,1,200,0.828632
200,1,220,0.85581548
200,1,240,0.88273072
200,1,260,0.90937772
200,1,280,0.93575648
200,1,300,0.961867
200,1,320,0.98770928
200,1,340,1.01328332
200,1,360,1.03858912
200,1,380,1.06362668
200,1,400,1.088396
200,1,420,1.11289708
200,1,440,1.13712992
200,1,460,1.16109452
200,1,480,1.18479088
200,1,500,1.208219
200,1,520,1.23137888
200,1,540,1.25427052
200,1,560,1.27689392
200,1,580,1.29924908
200,1,600,1.321336
200,1,620,1.34315468
200,1,640,1.36470512
200,1,660,1.38598732
200,1,680,1.40700128
200,1,700,1.427747
200,1,720,1.44822448
200,1,740,1.46843372
200,1,760,1.48837472
200,1,780,1.50804748
200,1,800,1.527452
200,1,820,1.54658828
200,1,840,1.56545632
200,1,860,1.58405612
200,1,880,1.60238768
200,1,900,1.620451
200,1,920,1.63824608
200,1,940,1.65577292
200,1,960,1.67303152
200,1,980,1.69002188
200,1,1000,1.706744
200,2,0,0.467305
200,2,20,0.49249168
200,2,40,0.51749172
200,2,60,0.54230512
200,2,80,0.56693188
200,2,100,0.591372
200,2,120,0.61562548
200,2,140,0.63969232
200,2,160,0.66357252
200,2,180,0.68726608
200,2,200,0.710773
200,2,220,0.73409328
200,2,240,0.75722692
200,2,260,0.78017392
200,2,280,0.80293428
200,2,300,0.825508
200,2,320,0.84789508
200,2,340,0.87009552
200,2,360,0.89210932
200,2,380,0.91393648
200,2,400,0.935577
200,2,420,0.95703088
200,2,440,0.97829812
200,2,460,0.99937872
200,2,480,1.02027268
200,2,500,1.04098
200,2,520,1.06150068
200,2,540,1.08183472
200,2,560,1.10198212
200,2,580,1.12194288
200,2,600,1.141717
200,2,620,1.16130448
200,2,640,1.18070532
200,2,660,1.19991952
